"user_pseudo_id;page_view;user_engagement;scroll;session_start;first_visit;view_item;view_promotion;add_to_cart;begin_checkout;select_item;view_search_results;add_shipping_info;select_promotion;add_payment_info;purchase;click;view_item_list"
"1013442.5000387623;3;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0"
"1025449.0583858446;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0"
"1041501.6423422307;3;2;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0"
"1055429.2539666160;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0"
"1120828.7450351953;3;1;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0"
"1131277.2323799524;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1200411.3506186779;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"1314633.3200361618;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1326237.6425538662;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1338949.6196705571;2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"1369675.3029650401;3;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0"
"1437546.5563605790;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1573028.0821923936;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1613659.6849115661;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1641407.9123852433;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1664623.1797376339;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1701274.1668219845;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1734629.4852723680;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1788923.8926246465;3;3;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"1818616.2986806545;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"1821017.9227389635;2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"1832198.0226996350;2;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0"
"1877824.8470046855;12;12;5;1;1;6;1;0;0;0;0;0;0;0;0;0;0"
"1911230.6931884606;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2021788.5561145435;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2042198.9256883103;4;4;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0"
"2185127.0640692820;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2188735.0518827456;4;3;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0"
"2234478.7832506103;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2260071.3619448689;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2300129.7627437773;3;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0"
"2327647.9679581663;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2340612.4703751432;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2347535.5341569923;3;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"2425397.9354391100;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"2438111.4345324105;3;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"2444218.1744727466;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2496546.1864986945;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2505659.6203783915;6;6;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0"
"2508452.5946978151;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0"
"2528138.9209466446;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2536769.6786678196;115;115;1;1;1;60;6;0;1;0;2;1;0;0;0;0;0"
"2581472.7229210403;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2592896.3588895298;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"2596188.0409846981;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2607930.3359365144;8;7;3;2;0;0;4;0;0;0;0;0;0;0;0;0;0"
"2679398.2946427982;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"2682578.2143631279;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2733365.7259273647;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2742847.3721847442;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2764791.5433761163;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2779027.3928159771;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2797421.7357691229;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"2798926.2779371130;3;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"2887151.0195996244;10;10;9;2;1;8;1;0;0;0;0;0;0;0;0;0;0"
"3053022.0284324165;8;7;0;1;1;3;2;0;1;0;0;1;0;0;0;0;0"
"3116106.2467299384;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3179584.6135571607;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"3201259.0161761510;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3267881.7119751288;3;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0"
"3279547.2777936993;10;8;4;2;1;1;3;0;0;0;0;0;0;0;0;0;0"
"3489565.9082617758;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0"
"3494964.9978697941;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3503636.7841247341;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"3580395.2255925423;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0"
"3580871.0576719433;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3619287.4680487781;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3668246.2098851834;6;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3673041.5134596998;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3692894.8443387219;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"3823692.3101651523;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"3828624.3638277580;9;9;3;1;1;6;1;0;0;0;0;0;0;0;0;0;0"
"3905005.4790415150;7;7;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0"
"3921676.5620063249;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"3934642.1661990230;2;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0"
"3963032.9364763436;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0"
"4011454.5438881867;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4043544.3886787269;25;22;10;1;0;23;2;0;2;0;0;2;1;2;0;1;0"
"4056851.4611247287;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4102081.2291004923;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4152935.7088785742;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4202872.1451176770;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4239458.9831399006;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4266006.6627148311;13;13;3;1;0;0;3;0;0;0;0;0;0;0;0;0;0"
"4276323.0862616889;5;5;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"4374772.7363955838;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"4388375.1293401726;5;5;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0"
"4399255.4686925870;3;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"4563720.0667871385;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0"
"4572012.8624432775;11;10;4;6;1;0;2;0;0;0;0;0;0;0;0;0;0"
"4592800.9327306655;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4632948.0394777143;7;7;4;2;1;0;3;0;0;0;0;0;0;0;0;0;0"
"4650406.7381385074;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1"
"4669318.7823790786;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"4673336.9798887417;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"4693803.4172734185;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"4763812.2187555277;2;2;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0"
"4859084.5267292356;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"4940332.6536460667;2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0"
"5001170.8483800779;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
"5026018.8520427135;4;4;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0"
"5036385.6637735519;5;0;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0"
"5047510.4744472288;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"5087896.3440413767;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"5108407.1073748490;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"5189870.5471021155;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"5215143.5590044124;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"5246014.2104989321;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"5285157.9371800398;3;3;2;1;1;0;1;0;0;0;1;0;0;0;0;0;0"
"5350534.3462706048;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0"
"5396484.6525586252;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
"5475322.5564210466;2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0"
