user_pseudo_id,session_start,first_visit,page_view,scroll,click,view_search_results,file_download,user_engagement,view_item,view_promotion,add_to_cart,select_item,begin_checkout,view_search_results_1,add_shipping_info,select_promotion,add_payment_info,purchase
1001406.4915130369,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1002579.9731584252,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006502.2280872859,2,1,7,3,0,0,0,4,5,0,0,0,0,0,0,0,0,0
1008418.3797266631,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1025981.8934896035,2,1,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1037345.7601903745,1,1,5,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0
1047219.6858243634,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1058806.3279670591,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085793.3256658004,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092829.7842819621,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1094520.1325997913,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1094635.9321307925,1,1,6,3,0,0,0,3,4,1,0,0,0,0,0,0,0,0
1112047.3616546736,2,1,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1139264.4969911631,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153010.6286227099,2,1,57,31,1,0,0,40,18,2,4,0,3,0,1,0,2,1
1160886.0143369206,2,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1193142.8603592229,1,1,20,8,0,0,0,15,8,1,1,0,2,0,1,0,1,1
1220886.0250243467,8,0,39,18,0,6,0,29,11,7,0,0,0,6,0,0,0,0
1225491.9255097237,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1251875.9123077632,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1295326.0080322363,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1298332.8805790276,3,0,24,4,0,0,0,17,12,2,2,4,0,0,0,0,0,0
1333058.6950407841,0,0,5,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0
1356289.7335974426,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356860.3589473619,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1367377.3916474675,1,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
1374062.8574297387,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1383419.9669090019,3,1,7,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0
1421342.9328875354,1,1,6,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0
1422416.8140310824,1,1,6,3,0,1,0,3,0,2,0,0,0,1,0,0,0,0
1461885.0011719997,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1483451.8339559898,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1484257.8052292428,11,1,39,18,0,0,0,30,2,12,0,0,0,0,0,1,0,0
